,id,name,price,url,category_name,Размер,Материал,Цвет,Класс,Набор,Подсветка,Вес,Объем упаковки,Страна производства,Страна бренда
0,24,"Елочная игрушка Енотик Дэнни 9 см, подвеска",1580.0,/goods/elochnaya-igrushka-enotik-djenni-9-sm-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.1,0.0003,Китай,Нидерланды
1,28,Елочная игрушка Бабочка Иви - Azure Wonders 10 см,970.0,/goods/elochnaya-igrushka-babochka-sharlotta-10-sm-podveska/,"Бабочки, Жучки",S (7-14 см),Пластик,бирюзовый,премиум,Нет,Нет,0.04,0.0003,Китай,Нидерланды
2,33,"Елочная игрушка Christmas Bakery - Лошадка 9 см, подвеска",340.0,/goods/elochnaya-igrushka-christmas-bakery-loshadka-9-sm-podveska/,Символ года 2026,S (7-14 см),Керамика / Фарфор,красный / бордовый,стандарт,Нет,Нет,0.04,0.0002,Китай,Нидерланды
3,38,Елочная игрушка Цветок Jasmia 28 см,1610.0,/goods/elochnaya-igrushka-cvetok-jasmia-28-sm-rozovaya-podveska/,Цветы,M (15-30 см),Текстиль,розовый,премиум,Нет,Нет,0.02,0.0004,Таиланд,Бельгия
4,44,"Елочная игрушка Эльф Анри - Помощник Санты 12 см, подвеска",2620.0,/goods/elochnaya-igrushka-jelf-anri---pomoshhnik-santy-12-sm-podveska/,Гномы и Эльфы,S (7-14 см),Полистоун,красный / бордовый,премиум,Нет,Нет,0.09,0.0004,Китай,Бельгия
5,55,"Деревянная елочная игрушка Котёнок Квиррелл в новогоднем колпачке 8 см, подвеска",240.0,/goods/derevyannaya-elochnaya-igrushka-kotyonok-kvirrell-v-novogodnem-kolpachke-8-sm-podveska/,Животные,S (7-14 см),Дерево,белый,стандарт,Нет,Нет,0.02,0.0001,Китай,Германия
7,63,"Елочная игрушка Птичка Colibri De Cristal 11 см, подвеска",730.0,/goods/elochnaya-igrushka-ptichka-colibri-de-cristal-11-sm-podveska/,Птицы,S (7-14 см),Акрил,желтый / оранжевый,стандарт,Нет,Нет,0.66,0.001,Китай,Россия
8,64,Декоративная фигура Патриша Блеквуд в тигровом платье 47 см,1460.0,/goods/dekorativnaya-figura-patrisha-blekvud-v-tigrovom-plate-47-sm/,Люди,L (31-50 см),Текстиль,шоколадный / коричневый,стандарт,Нет,Нет,0.13,0.0014,Китай,Нидерланды
9,70,"Елочная игрушка Снежинка - Savolle Bow 12 см, подвеска",280.0,/goods/elochnaya-igrushka-snezhinka-alkore--12-sm/,Снежинки,S (7-14 см),Акрил,белый,стандарт,Нет,Нет,0.04,0.0003,Китай,Нидерланды
10,77,"Набор стеклянных елочных игрушек Колокольчики Флер 8 см, 12 шт",3600.0,/goods/nabor-dlya-deleniya-061479/,Колокольчики,S (7-14 см),Стекло,кремовый / светлое дерево,премиум,Да,Нет,0.72,0.0119,Китай,Нидерланды
11,78,Бант на елку Sparkle Style шампань,350.0,/goods/bant-na-elku-sparkle-style-22x20-sm-shampan/,Банты на елку,M (15-30 см),Текстиль,золото,стандарт,Нет,Нет,0.07,0.0011,Китай,Россия
12,79,Бант на елку Feira золотой,240.0,/goods/bant-na-elku-feira-24-sm-zolotoj/,Банты на елку,M (15-30 см),Текстиль,золото,стандарт,Нет,Нет,0.04,0.0019,Китай,Нидерланды
14,90,"Стеклянная елочная игрушка Хамелеон Геллерт с Аравийского полуострова 17 см, подвеска",1760.0,/goods/steklyannaya-elochnaya-igrushka-hameleon-gellert-s-aravijskogo-poluostrova-podveska/,Животные,M (15-30 см),Стекло,кремовый / светлое дерево,премиум,Нет,Нет,0.09,0.0012,Польша,Польша
15,91,Елочная игрушка Единорог Эльфин - Лориэнский Лес 13 см бирюзовая,1810.0,/goods/elochnaya-igrushka-edinorog-jelfin---lorijenskij-les-13-sm-biryuzovaya-podveska/,Животные,S (7-14 см),Полистоун,синий / голубой,премиум,Нет,Нет,0.07,0.0006,Китай,Нидерланды
16,92,"Набор елочных игрушек Christmas Puppies 10 см, 2 шт",880.0,/goods/nabor-elochnyh-igrushek-christmas-puppies-10-sm-2-sht-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,стандарт,Да,Нет,0.22,0.0004,Китай,Нидерланды
17,93,Елочная игрушка Кот Девон-рекс на софе 9 см,1980.0,/goods/elochnaya-igrushka-kot-reks-na-sofe-8-sm/,Животные,S (7-14 см),Полистоун,красный / бордовый,премиум,Нет,Нет,0.11,0.0005,Китай,Нидерланды
18,94,Елочная игрушка Ежик Дэнни в жилетке 8 см,1590.0,/goods/elochnaya-igrushka-ezhik-djenni-v-zhiletke-8-sm-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.11,0.0002,Китай,Нидерланды
19,95,"Елочная игрушка Олень Гвен - Crimson Silver Ice 12 см, подвеска",1790.0,/goods/elochnaya-igrushka-olen-gven---crimson-silver-ice-12-sm-podveska/,Животные,S (7-14 см),Полистоун,серебро,премиум,Нет,Нет,0.07,0.0005,Китай,Нидерланды
20,103,"Набор елочных игрушек Пряничные Мишки 6 см, 2 шт, подвеска",420.0,/goods/elochnaya-igrushka-pryanichnyj-mishka-norbert-6-sm-so-snegovichkom-podveska/,Животные,XS (до 6 см),Полистоун,шоколадный / коричневый,стандарт,Да,Нет,0.11,0.0003,Китай,Германия
21,115,"Елочная игрушка Эльф Шарлот - В гостях у Санты 14 см, подвеска",2350.0,/goods/elochnaya-igrushka-jelf-sharlot---v-gostyah-u-santy-14-sm-podveska/,Гномы и Эльфы,S (7-14 см),Полистоун,красный / бордовый,премиум,Нет,Нет,0.12,0.0005,Китай,Бельгия
22,116,"Набор елочных игрушек Гномы - Сказочный Оркестр 10 см, 3 шт, подвеска",3660.0,/goods/nabor-elochnyh-igrushek-gnomy---skazochnyj-orkestr-10-sm-3-sht-podveska/,Гномы и Эльфы,S (7-14 см),Полистоун,красный / бордовый,премиум,Да,Нет,0.21,0.0006,Китай,Бельгия
23,119,Стеклянная елочная игрушка Aquarelle 14 см,2270.0,/goods/steklyannaya-elochnaya-igrushka-aquarelle-14-sm-podveska/,Миниатюры,S (7-14 см),Стекло,белый,премиум,Нет,Нет,0.06,0.0003,Китай,Бельгия
24,124,"Елочная игрушка Ангел Сюзи 11 см, подвеска",920.0,/goods/elochnaya-igrushka-angel-syuzi-11-sm-podveska/,Ангелы и Феи,S (7-14 см),Текстиль,серый,стандарт,Нет,Нет,0.08,0.0006,Китай,Германия
25,125,"Елочная игрушка Гном Корнеил - Хранитель леса Триллемарк 20 см, подвеска",710.0,/goods/elochnaya-igrushka-gnom-korneil---hranitel-lesa-trillemark-20-sm-podveska/,Персонажи сказок,M (15-30 см),Текстиль,красный / бордовый,стандарт,Нет,Нет,0.04,0.0009,Китай,Нидерланды
26,126,"Набор елочных игрушек Cezanne Nochevieja 10 см, 4 шт, подвеска",4080.0,/goods/nabor-elochnyh-igrushek-cezanne-nochevieja-10-sm-4-sht-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Керамика / Фарфор,разноцветные,премиум,Да,Нет,0.44,0.0028,Китай,Италия
